_key,combined_text,cleaned_text
Major Raja Aziz Bhatti Shaheed Memorial,"Major Raja Aziz Bhatti Shaheed Memorial Monument / Memorial A memorial dedicated to a recipient of the Nishan-e-Haider, Pakistan's highest military award. It is the memorial place our shuhada of indo pak war . The place where we can see the sacrifices of our beloved heroes. Who saved Pakistan with them lives Salut them Loved the place. This place takes you back ko 1965 when out army tigers have defended homeland and fought war like real men. Memorial is very well maintained by Army. Other then google maps you have no option to reach there as there is no board or sign for this historical place. Place has parking space and memorial is walled with Maj Shaheed photo engraved on stone and with history. Behind that is B.R.B Canal in its original form. Monument in memory of Major Raja Aziz Bhatti and his men who fought valiantly against overwhelming odds in the shape of invading Indian hordes. Major Aziz Bhatti had company strength troops and later on another company joined him, but they repulsed attack after attack by Indian forces who attacked in brigade strength using armour, artillery and Infantry. The Pakistani troops led by Aziz Bhatti defended the BRB canal entrenched on the home bank (where this monument is) and foiled Indian attempts to cross the canal and seize the city of Lahore. From 6th September to the 10th, Major Aziz Bhatti fought continously without sleep or rest and repulsed the Indians. Ultimately, while directing artillery fire upon Indian armour, he was targeted by an Indian tank which fired directly at him. The tank shell hit him in the left side of the chest and led to his instantaneous martyrdom on the spot. Major Raja Aziz Bhatti was awarded the highest gallantry award of Nishan e Haider posthumously. This monument was raised by the Northern Light Infantry of Pak army. This place is located in the Burki area on the outskirts of Lahore city and can be approached easily. Highly recommended. Its a beautiful and quiet place and attached to it is the holy memory of the martyrs who.laid down their lives in defence of Pakistan  Highly recommended place to visit and revisit the spot where Pakistani soldiers stemmed the tide of Indian attack.",major raja aziz bhatti shaheed memorial monument memorial memorial dedicate recipient nishan e haider pakistan high military award memorial place shuhada indo pak war place sacrifice beloved hero save pakistan live salut love place place take ko army tiger defend homeland fight war like real man memorial maintain army google maps option reach board sign historical place place parking space memorial wall maj shaheed photo engrave stone history canal original form monument memory major raja aziz bhatti man fight valiantly overwhelming odd shape invade indian horde major aziz bhatti company strength troop later company join repulse attack attack indian force attack brigade strength armour artillery infantry pakistani troop lead aziz bhatti defend brb canal entrench home bank monument foil indian attempt cross canal seize city lahore september major aziz bhatti fight continously sleep rest repulse indians ultimately direct artillery fire indian armour target indian tank fire directly tank shell hit left chest lead instantaneous martyrdom spot major raja aziz bhatti award high gallantry award nishan e haider posthumously monument raise northern light infantry pak army place locate burki area outskirt lahore city approach easily highly recommend beautiful quiet place attach holy memory martyr life defence pakistan highly recommend place visit revisit spot pakistani soldier stem tide indian attack
Masti Gate,"Masti Gate Historical Landmark One of the thirteen gates of the Walled City of Lahore, rich in historical significance. Masti Gate in Lahore is a historical gem that showcases the city's rich cultural heritage and architectural grandeur. Located in the heart of the Walled City, this gate is one of the original entrances dating back to the Mughal era. *Key Features:* - *Historical Significance*: Masti Gate has a rich history, with its construction attributed to the third Mughal ruler, Akbar, around 1566. The gate has been named after a royal guard called Masti Baloch, who served with dedication and commitment. - *Architectural Appeal*: The gate features intricate carvings and colorful tile work, showcasing the artistry that flourished during the Mughal period. - *Vibrant Markets*: The surrounding area is filled with bustling markets, including a wholesale shoe market and Moti Bazaar, offering a wide range of products. - *Local Cuisine*: Visitors can enjoy traditional Pakistani delicacies like biryani and nihari at nearby eateries. *Visitor Experience:* - *Best Time to Visit*: Early morning or late afternoon to avoid crowds and enjoy a quieter experience. - *Guided Tours*: Available to provide insights into the significance of Masti Gate and its role in Lahore's history. - *Shopping*: Explore the myriad of shops and food stalls lining the streets, perfect for food lovers and shoppers. *Rating:* 4.5/5 stars *Recommendation:* Masti Gate is a must-visit destination for history enthusiasts, culture lovers, and shoppers. With its rich history, vibrant markets, and delicious cuisine, it's an unforgettable experience that captures the essence of Lahore  reis gate was actually called Masjidi Gate but the name got altered to Masti. Stories also revolve around about a royal guard called Masti Baloch after whom this gate was named. We saw some amazing buildings here like the Mariam Zamani Mosque, the well restored Baroodkhana Haveli and some famous shrines. My daughters were really amused to see the wholesale shoe market in Moti Bazaar which was in operation at eight in the morning. This market runs all through the night because it's customers come from other cities during the night. We partook the wonderful ""Rabri Milk"" here. It tasted like ambrosia as the concoction had cream, almonds, pistachios, vermicelli and cardamoms added to the milk. Everyone was really thrilled to see the famous wrestler Shahiya Pehlwan's wrestling courts. We saw the mud wrestlers in action. It was an absolutely thrilling experience. nice visit...but all historical places need high maintainance...very devastating condition since last visit 20 years back.",masti gate historical landmark thirteen gate walled city lahore rich historical significance masti gate lahore historical gem showcase city rich cultural heritage architectural grandeur locate heart walled city gate original entrance date mughal era key feature historical significance masti gate rich history construction attribute mughal ruler akbar gate name royal guard call masti baloch serve dedication commitment architectural appeal gate feature intricate carving colorful tile work showcase artistry flourish mughal period vibrant market surround area fill bustling market include wholesale shoe market moti bazaar offer wide range product local cuisine visitor enjoy traditional pakistani delicacy like biryani nihari nearby eatery visitor experience good time visit early morning late afternoon avoid crowd enjoy quieter experience guide tour available provide insight significance masti gate role lahore history shop explore myriad shop food stall line street perfect food lover shopper rate star recommendation masti gate visit destination history enthusiast culture lover shopper rich history vibrant market delicious cuisine unforgettable experience capture essence lahore reis gate actually call masjidi gate get alter masti story revolve royal guard call masti baloch gate name see amazing building like mariam zamani mosque restore baroodkhana haveli famous shrine daughter amuse wholesale shoe market moti bazaar operation morning market run night customer come city night partook wonderful rabri milk taste like ambrosia concoction cream almond pistachio vermicelli cardamom add milk thrill famous wrestler shahiya pehlwan wrestling court see mud wrestler action absolutely thrilling experience nice visit historical place need high maintainance devastating condition visit year
Fatima Jinnah Park (F-9 Park),"Fatima Jinnah Park (F-9 Park) Public Park One of the largest public parks in Islamabad, also known as F-9 Park. F-9 Park, officially known as Fatima Jinnah Park, is unequivocally the green heart of Islamabad and an essential visit for residents and tourists alike. Spanning a vast Areaeffectively an entire sectorit provides a crucial, expansive escape from the citys concrete jungle. Its sheer size means you can genuinely lose yourself in nature, a rare luxury in a modern capital. The parks primary strength lies in its excellent infrastructure for physical activity. The well-maintained, dedicated walking and jogging tracks are fantastic, making it the perfect spot for morning exercise, cycling, or just a leisurely evening stroll. With the picturesque Margalla Hills serving as a backdrop, the environment is both serene and motivational. Beyond the tracks, the park is a hub of varied activities. Theres a large, well-equipped children's play area that keeps families coming back, and open lawns are always filled with people picnicking or playing casual sports. Facilities like the outdoor gym stations and dedicated recreational complex (Leisure Arena/Gandhara Citizen Club) further enhance its utility. I also appreciate the efforts toward sustainability, including the visible solar power plant. While a few sections, particularly near the gates, can get crowded, the parks immense size allows for tranquility in its inner areas, which feel more like a wildlife sanctuary. It's truly a testament to Islamabad's planning and remains free of charge for general entry, making it accessible to everyone. F-9 Park is more than just a park; it's a vital community space that is essential for the citys well-being. Highly recommended for fitness enthusiasts, families, and anyone seeking fresh air. Nature all around (as much as a big city can have).. peaceful environment and wide area for a walk, stroll, jogging or even playing.. i love the calm of this place that doesnt matter how much crowd is there, theres still a silent side spent a number of birthdays, eids and regular evenings there and made a whole lot of memories there i hope they never convert it into a commercial area or whatever the rumours are saying.. its perfect the way it is I visited this park in my recent islamabad tour and i was amazed a huge lush greenery area for park is reserved in Islamabad that is covered almost a sector area. Walk track bicycle track are also available in park and many other healthy activities can be played in this park. Many monument built here to attract the people. Family and children area also available here. I wonder to visited this park and also happy. I recommend to all must visit the park once.",fatima jinnah park park public park large public park islamabad know park park officially know fatima jinnah park unequivocally green heart islamabad essential visit resident tourist alike span vast areaeffectively entire sectorit provide crucial expansive escape citys concrete jungle sheer size mean genuinely lose nature rare luxury modern capital park primary strength lie excellent infrastructure physical activity maintain dedicated walking jog track fantastic make perfect spot morning exercise cycling leisurely evening stroll picturesque margalla hill serve backdrop environment serene motivational track park hub varied activity s large equip child play area keep family come open lawn fill people picnic play casual sport facility like outdoor gym station dedicated recreational complex leisure arena gandhara citizen club enhance utility appreciate effort sustainability include visible solar power plant section particularly near gate crowd park immense size allow tranquility inner area feel like wildlife sanctuary truly testament islamabad planning remain free charge general entry make accessible park park vital community space essential city highly recommend fitness enthusiast family seek fresh air nature big city peaceful environment wide area walk stroll jogging play love calm place not matter crowd s silent spend number birthday eid regular evening lot memory hope convert commercial area rumour say perfect way visit park recent islamabad tour amazed huge lush greenery area park reserve islamabad cover sector area walk track bicycle track available park healthy activity play park monument build attract people family child area available wonder visited park happy recommend visit park
Shangla Disney Icon Park,Shangla Disney Icon Park Amusement Park A local amusement or theme park in the Shangla district. Good Nice,shangla disney icon park amusement park local amusement theme park shangla district good nice
Kachnar Park,"Kachnar Park Public Park A public park in Islamabad, known for its scenic beauty and walking trails. Kachnar Park Islamabad is a serene oasis! Beautiful gardens and lush greenery everywhere. Perfect spot for relaxation and nature lovers. Peaceful atmosphere and scenic views. A haven for families, couples, and solo visitors alike. Plenty of walking trails and seating areas. Well-maintained and clean environment. Ideal for picnics, strolls, or simply unwinding. Kachnar Park is a hidden gem in Islamabad. Highly recommend visiting this tranquil retreat Beautiful Park Kachnar Park is a tranquil oasis with lush greenery and vibrant flowers. Well-marked walking trails, playground for kids, and peaceful atmosphere make it perfect for families and nature lovers. And, it's now become a hotspot for wedding photo shoots! The picturesque scenery and beautiful backdrops make it an ideal spot for capturing special moments. Rating 5/5 Frequently used for bridal and wedding photoshoots, Dedicated jogging/cycling tracks (around 2.2km long. Exercise zone where aged uncles do funny pushups and gestures to achieve Mr Olympia physique Futher more (kachnar) trees, diverse flora, spots for wildlife like squirrels and birds",kachnar park public park public park islamabad know scenic beauty walk trail kachnar park islamabad serene oasis beautiful garden lush greenery perfect spot relaxation nature lover peaceful atmosphere scenic view haven family couple solo visitor alike plenty walk trail seating area maintain clean environment ideal picnic stroll simply unwind kachnar park hidden gem islamabad highly recommend visit tranquil retreat beautiful park kachnar park tranquil oasis lush greenery vibrant flower mark walking trail playground kid peaceful atmosphere perfect family nature lover hotspot wedding photo shoot picturesque scenery beautiful backdrop ideal spot capture special moment rate frequently bridal wedding photoshoot dedicated jogging cycling track km long exercise zone aged uncle funny pushup gesture achieve mr olympia physique futher kachnar tree diverse flora spot wildlife like squirrel bird
Changa Manga Forest Park,"Changa Manga Forest Park Forest / Wildlife Park One of the largest man-made forests in the world, featuring a wildlife park, train rides, and picnic spots. Changa Manga is a big man-made forest near Lahore, Pakistan. Its a peaceful place full of trees, birds, and fun activities. Its great for a one-day picnic with family or friends.  What You Can Do There: Mini Train Ride A small train takes you through the jungle. Fun for kids and gives you a nice view of the forest. Boating There is a lake where you can enjoy paddle boating. Very calm and relaxing. Picnic Areas You can sit, eat, and relax under big shady trees. Good place to bring homemade food and enjoy nature. Animals You might see deer, monkeys, and birds. There is a small zoo as well. Walking & Cycling You can walk or ride a bike on the paths in the forest.  Good Things: Quiet and peaceful place Good for kids and families Beautiful nature and fresh air Cheap or free to enter This is a dream like beautiful place, especially when the weather is cloudy. The rope bridge is not only fun but also adds to the esthetic beauty of the place. Now they have reduced the area, still it seems appealing. The admin could do very well but alas! The lake is too muddy, the boats are rotting, the birds have flown away, the trees are quite less, the vendors don't have proper system to sell any goods, the toilets have no doors, and at the entrance it says that camera is watching you but you have to keep an eye on your vehicle in the parking in case it gets stolen. It seems funny yet pathetic. The train timings are not mentioned and it leaves as soon as they think its full. No written instructions how much time it takes to complete a circle, but it is mentioned that you pay 100 rs per person till 1 corner to the other (then to return to the 1st corner from where you sat there is probably another 100 rs. per person, but we couldn't take the previlege to get a ride) we kept waiting for the train to get back on its station but there was nobody to tell how much wait was required. So after 20 min we left that place. The tram outside has no fee structure, that person said 1000 rs for a family, but a family could be 10 people or more, or less, but he couldn't justify. In short it can be made the most beautiful place by little bit of care but nobody cares. Even the public doesn't care to take away its litter after enjoying the food. There are cats in scarcity and no squirrels at all, which is the biggest flaw. It proves that there is no place for animals and birds to live in the forest. We should be so loving that birds get back there, that squirrels get abundant, that bees make hives, that butterflies dance in distance and make our young children aware how a forest looks. I wish someone local, who can, reads this all and brings improvement. Review: A Wonderful Visit to Changa Manga, Lahore Our recent visit to Changa Manga, located near Lahore, was an incredible experience filled with fun and relaxation. Known as one of the largest man-made forests in the world, this place offers a refreshing escape from the hustle and bustle of city life. From the moment we arrived, we were amazed by the lush greenery and the serene environment. The fresh air and scenic beauty made it a perfect spot for a picnic. We enjoyed walking through the forest trails, surrounded by towering trees and chirping birds, creating a peaceful atmosphere. One of the highlights of our visit was the famous Changa Manga train ride, which took us on a delightful journey through the forest. The boating area was another exciting experience, where we enjoyed paddling in the calm waters. The small zoo inside the park was a great attraction, especially for children. The park also has well-maintained picnic areas and food stalls, making it easy to relax and enjoy a meal with family and friends. The management has done a good job in keeping the place clean and safe for visitors. Overall, we had a fantastic time at Changa Manga. It is a must-visit destination for nature lovers and families looking for a peaceful getaway.",changa manga forest park forest wildlife park large man forest world feature wildlife park train ride picnic spot changa manga big man forest near lahore pakistan peaceful place tree bird fun activity great day picnic family friend mini train ride small train take jungle fun kid give nice view forest boat lake enjoy paddle boat calm relax picnic area sit eat relax big shady tree good place bring homemade food enjoy nature animal deer monkey bird small zoo walk cycling walk ride bike path forest good thing quiet peaceful place good kid family beautiful nature fresh air cheap free enter dream like beautiful place especially weather cloudy rope bridge fun add esthetic beauty place reduce area appeal admin alas lake muddy boat rot bird fly away tree vendor proper system sell good toilet door entrance say camera watch eye vehicle parking case get steal funny pathetic train timing mention leave soon think write instruction time take complete circle mention pay r person till corner return corner sit probably rs person previlege ride keep wait train station tell wait require min leave place tram outside fee structure person say rs family family people justify short beautiful place little bit care care public care away litter enjoy food cat scarcity squirrel big flaw prove place animal bird live forest loving bird squirrel abundant bee hive butterfly dance distance young child aware forest look wish local read bring improvement review wonderful visit changa manga lahore recent visit changa manga locate near lahore incredible experience fill fun relaxation know large man forest world place offer refreshing escape hustle bustle city life moment arrive amazed lush greenery serene environment fresh air scenic beauty perfect spot picnic enjoyed walk forest trail surround tower tree chirping bird create peaceful atmosphere highlight visit famous changa manga train ride take delightful journey forest boat area exciting experience enjoy paddle calm water small zoo inside park great attraction especially child park maintain picnic area food stall make easy relax enjoy meal family friend management good job keep place clean safe visitor overall fantastic time changa manga visit destination nature lover family look peaceful getaway
Theme Park DHA Bahawalpur,"Theme Park DHA Bahawalpur Amusement Park An amusement and theme park located in the Defense Housing Authority (DHA) of Bahawalpur. Theme Park DHA Bahawalpur is a beautifully designed recreational space with clean walking tracks, green lawns, kids' play areas, and a mesmerizing dancing fountain show in the evening. It provides a peaceful, secure, and family-friendly environment, ideal for leisure and relaxation. The atmosphere is refreshing, and it stands out as one of the finest public spots in South Punjab. Whether you're enjoying a walk, sitting by the artificial pond, or watching the lighted fountain, it's a great place to unwind with loved ones. I recently visited DHA Bahawalpur Theme Park, a family-friendly amusement spot in the city. While it offers some entertainment options, it falls short of being a top-tier attractions. However, given the limited attractions and maintenance issues, the value could be better. The park was not overly crowded on my visit, so waiting times for rides were short. However, on weekends and holidays, it likely gets busier, which could lead to longer.DHA Bahawalpur Theme Park is a decent place for a casual family outing, especially with younger kids. However, it lacks the excitement and polish of larger amusement parks. With better maintenance, more rides, and improved facilities. This a park in defiance housing authority (DHA) Bahawalpur. This green, neat and clean park . Swings are available for kids. Crowded place different types of swings available for children. One small tuck shop is also available in this park corner.",theme park dha bahawalpur amusement park amusement theme park locate defense housing authority dha bahawalpur theme park dha bahawalpur beautifully design recreational space clean walking track green lawn kid play area mesmerize dancing fountain evening provide peaceful secure family friendly environment ideal leisure relaxation atmosphere refresh stand fine public spot south punjab enjoy walk sit artificial pond watch lighted fountain great place unwind love one recently visit dha bahawalpur theme park family friendly amusement spot city offer entertainment option fall short tier attraction give limited attraction maintenance issue value well park overly crowded visit waiting time ride short weekend holiday likely get busy lead bahawalpur theme park decent place casual family outing especially young kid lack excitement polish large amusement park well maintenance ride improve facility park defiance housing authority dha bahawalpur green neat clean park swing available kid crowd place different type swing available child small tuck shop available park corner
Kohati Gate,"Kohati Gate Historical Landmark One of the four main gates of the old Walled City of Peshawar, rich in historical and cultural significance. A historical place and one of the the gate of the old historic city peshawar. Peshawar wasfounded as the city of Puruapura, on the Gandhara Plains in the broad Valley of Peshawar in 100 CE. It may have been named after a Hindu raja who ruled the city who was known as Purush. The city likely first existed as a small village in the fifth century BCE, Peshawar is the heart of Pakistan and people of the region are so kind and loving. I recently visited a bustling spot in the heart of the city, where the aroma of local street food and the lively atmosphere create a delightful experience. From sizzling kababs to flavorful snacks, the variety is impressive. The vibrant mix of flavors, affordable prices, and the authentic local touch make it a must-visit for food enthusiasts. The lively street ambiance adds to the charm, making it a perfect spot to explore the diverse culinary offerings of the region. The district Kohti Gate of Peshawar in Khyber Pakhtunkhwa is located in Pakistan about 87 mi west of Islamabad, the country's capital. It is one of the many historical gates to enter Old Peshawar City, there are many bird shops nearby. This place is the meet and eat hub for many of people representing true culture of Khyber Pakhtunkhwa and Pashtoons. There are also many of the great food places here to enjoy traditional cuisine.",kohati gate historical landmark main gate old walled city peshawar rich historical cultural significance historical place gate old historic city peshawar peshawar wasfounde city puruapura gandhara plain broad valley peshawar ce name hindu raja rule city know purush city likely exist small village fifth century bce peshawar heart pakistan people region kind loving recently visit bustling spot heart city aroma local street food lively atmosphere create delightful experience sizzle kabab flavorful snack variety impressive vibrant mix flavor affordable price authentic local touch visit food enthusiast lively street ambiance add charm make perfect spot explore diverse culinary offering region district kohti gate peshawar khyber pakhtunkhwa locate pakistan mi west islamabad country capital historical gate enter old peshawar city bird shop nearby place meet eat hub people represent true culture khyber pakhtunkhwa pashtoon great food place enjoy traditional cuisine
Bagh-e-Malir Park,"Bagh-e-Malir Park Public Park A large public park in the Malir area of Karachi, offering recreational facilities and green space. Bagh e malir park is one of the most beautiful park in my city area malir korangi. I would like to play my childrens in the bagh e malir park. Peaceful place but lack of basic necessities, like electricity load shading, low gas pressure, no kda water, bor water depth very high, no roads or worst condition. Nice enjoyment place",bagh e malir park public park large public park malir area karachi offer recreational facility green space bagh e malir park beautiful park city area malir korangi like play children bagh e malir park peaceful place lack basic necessity like electricity load shade low gas pressure kda water bor water depth high road bad condition nice enjoyment place
Kos Minar,"Kos Minar Historical Monument Historical Mughal-era milestones; one can be found near Lahore and others along old routes. Very beautiful Kos Minsr built by The Great Mughals. 28/8/2025 I had heard about this Kos Minar but having lived in Lahore for 47 years, I had never visited it before - until last week. I'm happy to note that it has been repaired and the garden is well kept. The gate was only partially locked. There was nobody there and I was able to unlock it and enter. Quite an experience for those who have interest in history. Good work by Punjab archeology to preserve these historic monuments. The tomb of Khan e jahan Bahadur Khan Zafar Jang is also not far from here. A similar Kos Minar is also located in Manhala , Lahore .",kos minar historical monument historical mughal era milestone find near lahore old route beautiful kos minsr build great mughal hear kos minar having live lahore year visit week happy note repair garden keep gate partially locked able unlock enter experience interest history good work punjab archeology preserve historic monument tomb khan e jahan bahadur khan zafar jang far similar kos minar locate manhala lahore
Mori Gate,"Mori Gate Historical Landmark One of the historic gates of the Walled City of Lahore, leading into a bustling bazaar. Mori Gate  Walled City of Lahore Address: Qadimi Shehar, Inside Mori Gate, near Urdu Bazar, Kucha Baili Ram, Walled City of Lahore, Lahore, 54000 Mori Gate is one of the twelve historic gates of the old Walled City of Lahore  a humble yet deeply significant passage into centuries of history, trade, and tradition. Unlike the grander gates such as Delhi Gate or Bhati Gate, Mori Gate carries a quieter charm, representing the daily life and resilience of old Lahore. Its narrow streets open into vibrant bazaars, small shops, and the timeless rhythm of city life that continues much as it did hundreds of years ago. This area is especially known for its proximity to Urdu Bazar  the literary heart of Lahore  where booksellers, writers, and students fill the lanes with words and wisdom. Walking through Mori Gate, one feels the living pulse of Lahore: the aroma of desi food, the sound of conversation, the colors of old architecture blending with the simplicity of modern life. Though smaller in size, Mori Gate holds a large piece of the citys soul. It tells the story of ordinary people whose lives built the extraordinary spirit of Lahore  a city that has seen empires fall, cultures blend, and love endure through time.  Here, the past walks beside you  quietly, yet proudly. Mori Gate, nestled within Lahores historic Walled City, holds a unique position among the citys ancient gateways. Unlike the grand entrances like Delhi or Bhati Gates, Mori Gate was a modest openingits name Mori meaning small hole in Urdu. Historically, it served dual purposes: providing access to the city after the main gates were closed at dusk and acting as an outlet for the citys refuse.    Though not officially recognized as one of the original twelve gates, locals have long considered Mori Gate the unofficial 13th. Over time, the original structure was demolished during British colonial rule, leaving no physical remnants. Today, the area thrives as Lahores largest fish market and is also renowned for its surgical goods market, the most extensive in the city.    The vicinity of Mori Gate is rich in cultural and historical significance. Nearby lies the Haveli of Nau Nihal Singh, a splendid example of Sikh-era architecture that has been repurposed as a girls school. The area is also known for producing high-quality lakh, a traditional furniture polish, and boasts a vibrant kite market, especially lively during the Basant festival.   Just because Mori Gate was the smallest of the 13 gates, it was assumed as being a garbage disposal point. For people who live in the walled city, or once lived there, this is a bizarre insult of sorts. So let me narrate a few facts as they can be seen even today. First we must understand that the original walled city had just two gateways to the south, they being Lohari and Mori. To the west there were none, except when the wall that ran along to the east of todays Bazaar Hakeeman, it turned inward and then there were three gateways, them being Taxali, Khizri and Kashmiri. These three were located along the current Chowk Taxali that meets Rang Mahal at the mound top turning towards Shahalami Bazaar. In the middle of this old western side in the middle along the mound was the original Delhi Gate. Traces of it still exist. Now comes the important assumption. Lahore is built on high mounds and to the west they flatten out. Around the fort and the city the River Ravi flowed turning in near the fort and going around the city and heading southwards from after Mori Gate near where today is built Bhati Gate. Almost 150 to 200 yards away from all these original seven gateways, as also away from the present 13 gateways, a waste water outlet exists. It still has the old iron grills to prevent anyone slipping in. These dropped into the river the encircled the walls. When Akbar expanded the city, primarily to accommodate the fierce Rajput Bhat warriors, who use the surname Bhatti, to the west and to the east the Turkic-Qizilbash horsemen in todays Mochi Gate area, we see that the southern portion remained the same and the northern was pushed outwards to cater for the growing importance of a river port. This was originally called Khizri Gate and Ranjit Singh renamed it Sheranwala. Akbars wife Maryam Zamani built a mosque just opposite the forts Akbari Gate and was called Masjidi Gate, now called Masti Gate. Maryam Zamani herself built some massive ships to ply Hajis. To one side of each gateway ran that particular areas waste waterway. So it was with Mori Gate. Inside Mori Gate was a huge garden in which people collected to pray before Hindu corpses were taken outside to be cremated at the point where the river turned to the south. This is the place where also the great Lahore Hindushahi Rajput ruler Raja Jayapala committed Johar after being defeated by the Afghan invader Mahmud. So to assume that at such a holy point is a waste disposal area is not to understand the social history, let alone the geography, of Lahore.",mori gate historical landmark historic gate walled city lahore lead bustling bazaar mori gate walled city lahore address qadimi shehar inside mori gate near urdu bazar kucha baili ram walled city lahore lahore mori gate historic gate old walled city lahore humble deeply significant passage century history trade tradition unlike grander gate delhi gate bhati gate mori gate carry quieter charm represent daily life resilience old lahore narrow street open vibrant bazaar small shop timeless rhythm city life continue hundred year ago area especially know proximity urdu bazar literary heart lahore bookseller writer student fill lane word wisdom walk mori gate feel live pulse lahore aroma desi food sound conversation color old architecture blend simplicity modern life small size mori gate hold large piece citys soul tell story ordinary people life build extraordinary spirit lahore city see empire fall culture blend love endure time past walk quietly proudly mori gate nestle lahore historic walled city hold unique position city ancient gateway unlike grand entrance like delhi bhati gate mori gate modest openingit mori mean small hole urdu historically serve dual purpose provide access city main gate close dusk act outlet citys refuse officially recognize original gate local long consider mori gate unofficial time original structure demolish british colonial rule leave physical remnant today area thrive lahore large fish market renowned surgical good market extensive city vicinity mori gate rich cultural historical significance nearby lie haveli nau nihal singh splendid example sikh era architecture repurpose girls school area know produce high quality lakh traditional furniture polish boast vibrant kite market especially lively basant festival mori gate small gate assume garbage disposal point people live walled city live bizarre insult sort let narrate fact see today understand original walled city gateway south lohari mori west wall run east todays bazaar hakeeman turn inward gateway taxali khizri kashmiri locate current chowk taxali meet rang mahal mound turning shahalami bazaar middle old western middle mound original delhi gate trace exist come important assumption lahore build high mound west flatten fort city river ravi flow turn near fort go city head southward mori gate near today build bhati gate yard away original seven gateway away present gateway waste water outlet exist old iron grill prevent slip drop river encircled wall akbar expand city primarily accommodate fierce rajput bhat warrior use surname bhatti west east turkic qizilbash horsemen todays mochi gate area southern portion remain northern push outward cater grow importance river port originally call khizri gate ranjit singh rename sheranwala akbar wife maryam zamani build mosque opposite fort akbari gate call masjidi gate call masti gate maryam zamani build massive ship ply haji gateway run particular area waste waterway mori gate inside mori gate huge garden people collect pray hindu corpse take outside cremate point river turn south place great lahore hindushahi rajput ruler raja jayapala commit johar defeat afghan invader mahmud assume holy point waste disposal area understand social history let geography lahore
